编号,正面情绪,文本
103,0.5,回复@崂山发布:[good]
104,0.5,回复@卧槽泥大业:实际上就是汽车东站到东亿热电这一段的辽阳东路
105,0.5,回复@崂山发布:[汗]好吧还有那一头
106,0.4737150425347657,回复@卧槽泥大业:图片评论 http://t.cn/RcnSLf1
107,0.5,我天天上班走这怎么不知道辽阳东路和同安路还有交叉？[doge][doge][doge]
108,0.5,哪一段啊。。深圳路跟同安路不是垂直的吗？
109,0.5,[话筒]辽阳东路施工
110,0.5,做电商的注意了，运输价格面临上调
111,0.4737150425347657,//@临安发布: 货车超限认定新标准今天起施行
112,0.5,货车超限认定新标准今天起施行
113,0.4737150425347657,[话筒]//@拱墅发布: 货车超限认定新标准今天起施行
114,0.4737150425347657,//@临安发布: 货车超限认定新标准今天起施行
115,0.44757496667959995,货车超限认定新标准今天起施行 //@富阳发布: 货车超限认定新标准今天起施行
116,0.5,【货车超限认定新标准今天起施行】
117,0.5,货车超限认定新标准今天起施行
118,0.4737150425347657,//@上城发布: 货车超限认定新标准今天起施行
119,0.5,货车超限认定新标准今天起施行
120,0.4737150425347657,//@临安发布: 货车超限认定新标准今天起施行
121,0.4737150425347657,//@上城发布: 货车超限认定新标准今天起施行
122,0.4737150425347657,//@上城发布: 货车超限认定新标准今天起施行
123,0.4737150425347657,//@临安发布: 货车超限认定新标准今天起施行
124,0.5,货车超限认定新标准今天起施行
125,0.5,有么用？
126,0.4737150425347657,货车超限认定新标准今天起施行//@临安发布: 货车超限认定新标准今天起施行
127,0.5,货车超限认定新标准今天起施行
128,0.4737150425347657,[话筒]//@拱墅发布: 货车超限认定新标准今天起施行
129,0.4737150425347657,货车超限认定新标准今天起施行//@上城发布: 货车超限认定新标准今天起施行
130,0.5,货车超限认定新标准今天起施行
131,0.5,货车超限认定新标准今天起施行
132,0.4737150425347657,//@上城发布: 货车超限认定新标准今天起施行
133,0.5,货车超限认定新标准今天起施行
134,0.5,@嗯嗯嗯姚小令
135,0.5,货车超限认定新标准今天起施行[微笑]
136,0.5,货车超限认定新标准今天起施行
137,0.5,规则再好，不管就是白搭。小区门口的路口21点之后大货都是各种超速闯红灯，太可怕了
138,0.5,@Treacy-Mcgrady
139,0.5,抽中了请问为什么官网查不到信息呀。
140,0.5,毅行大会报名将开始，杭州发布送出毅行免费名额！
141,0.4737150425347657,[给力][围观]//@拱墅发布: 毅行大会报名将开始，杭州发布送出毅行免费名额！
142,0.5,【毅行大会报名将开始，杭州发布送出毅行免费名额！】
143,0.5,毅行！
144,0.4737150425347657,//@临安发布: 毅行大会报名将开始，杭州发布送出毅行免费名额！
145,0.5,【毅行大会报名将开始，杭州发布送出毅行免费名额！】
146,0.4737150425347657,早上看到的 http://t.cn/RcljkRP
147,0.5,回复@陪你看风景的小伙汁:理科生[挖鼻]
148,0.5,回复@c丑八怪呀:说明你肌肉化解乳酸的能力很棒喔😂
149,0.5,回复@陪你看风景的小伙汁:其实还蛮想试的，上次怕黄山感觉当天晚上腿酸爽到不行，然后第二天就好了
150,0.5,回复@c丑八怪呀:组队是可以组到人的，不过对于平时运动量不大的人来说30公里真的走下来的话后面几天大腿小腿脚掌真的会很酸爽😂
151,0.5,回复@c丑八怪呀:其实我也没走过[微笑]，估计7个左右吧
152,0.5,回复@陪你看风景的小伙汁:我在想报15公里，因为30公里要组队，没有队可以组[doge]
153,0.5,回复@c丑八怪呀:那你体力也还可以的，毕竟是女生嘛
154,0.5,回复@陪你看风景的小伙汁:我12公里都花了3个多小时[笑cry]，不过中途有爬山
155,0.5,回复@c丑八怪呀:30公里我觉得6个小时差不多了；以前25公里我花了三个半小时多点，当然那是边走边跑的，中途没停歇
156,0.5,回复@陪你看风景的小伙汁:那你怎么一开始说没时间限制[哼]😂我猜也是啊，肯定有规定时间内啊
157,0.5,回复@c丑八怪呀:当然是有时间限定啦，不然人家五十公里都走下来了，你却三十公里走了一半，工作人员也不可能一直等着咱们的对吧😂，正常的话，时间是足够的
158,0.5,要参加的私信我一下
159,0.5,回复@陪你看风景的小伙汁:哦哦，我看好像是说要规定的时间内走完才算完成，嘿嘿没参加过不知道
160,0.5,回复@c丑八怪呀:没时间限制，走完就可以了。因为这不是竞技比赛，坚持下来就是胜利
161,0.5,@小梁梁梁梁梁梁梁哥 
162,0.5,回复@墨迹的Zed:好的咯
163,0.5,回复@yBerNicE_:一起啊
164,0.5,回复@墨迹的Zed:要去吗
165,0.5,50千米的我走过，腿肿了好几天
166,0.5,搞不搞？[思考]
167,0.5,回复@北极星-北斗星:30千米要在多少时间内走完
168,0.5,@yBerNicE_
169,0.5,回复@FJJ的微博:可以登入国际（杭州）毅行大会官网（www.gjyxdh.com）进行查看具体的官方报名通道。
170,0.4737150425347657,#关注# 毅行大会报名将开始，杭州发布送出毅行免费名额！
171,0.5,回复@陪你看风景的小伙汁:好呀，还差两个人[微笑]
172,0.5,回复@北极星-北斗星:求加入
173,0.5,有没有组团参加30千米的。[微笑]
174,0.5,毅行大会报名将开始，杭州发布送出毅行免费名额！
175,0.4737150425347657,有没有组团的 30KM
176,0.5,毅行大会报名将开始，杭州发布送出毅行免费名额！
177,0.5,毅行大会报名将开始，杭州发布送出毅行免费名额
178,0.5,毅行大会报名将开始，杭州发布送出毅行免费名额！
179,0.5,怎么报名呀
180,0.4737150425347657,#爱地铁 微分享#【毅行大会报名将开始，杭州发布送出毅行免费名额！】
181,0.5,毅行大会报名将开始，杭州发布送出毅行免费名额！
182,0.5,毅行大会报名将开始，杭州发布送出毅行免费名额！[围观][围观][围观]
183,0.4737150425347657,@陶畅心很畅心oO   我们一起参加
184,0.5,毅行大会报名将开始，杭州发布送出毅行免费名额
185,0.4737150425347657,//@上城发布: 房贷25日后扣款的小伙伴，这个月一定要提前存款啦！
186,0.5,房贷25日后扣款的小伙伴，这个月一定要提前存款啦！
187,0.4737150425347657,//@平安杭州: 【房贷25日后扣款的小伙伴，这个月一定要提前存款啦！】
188,0.4737150425347657,有房贷的小伙伴注意啦[话筒]//@拱墅发布: 房贷25日后扣款的小伙伴，这个月一定要提前存款啦！
189,0.5,房奴们赶紧的
190,0.5,【房贷25日后扣款的小伙伴，这个月一定要提前存款啦！】
191,0.4737150425347657,//@上城发布: 房贷25日后扣款的小伙伴，这个月一定要提前存款啦！
192,0.4737150425347657,//@上城发布: 房贷25日后扣款的小伙伴，这个月一定要提前存款啦！
193,0.4737150425347657,//@上城发布: 房贷25日后扣款的小伙伴，这个月一定要提前存款啦！
194,0.4737150425347657,//@上城发布: 房贷25日后扣款的小伙伴，这个月一定要提前存款啦！
195,0.5,没有公积金的飘过。只想知道契税调整是真的还是假的？契税缴纳按购房日期税率缴纳还是按缴税日税率缴纳？
196,0.5,@oldratlee
197,0.5,？@王家奶爸
198,0.4737150425347657,#微提醒# 房贷25日后扣款的小伙伴，这个月一定要提前存款啦！
199,0.5,房贷25日后扣款的小伙伴，这个月一定要提前存款啦！
200,0.4737150425347657,@她是一朵娇花 @地主斗农民
201,0.5,同问，省的受影响么。23日营业厅能提取公积金么。
202,0.5,省直单位受影响吗？
203,0.5,杭州马拉松将于11月6日开跑
204,0.5,【杭州马拉松将于11月6日开跑】
205,0.5,【杭州马拉松将于11月6日开跑】
206,0.4737150425347657,回复@Ladycoco1992:跑呀 跑起来
207,0.5,微信怎么报名？？
208,0.4737150425347657,@小梁梁梁梁梁梁梁哥 @HZKYW 
209,0.5,杭州马拉松将于11月6日开跑
210,0.5,盈利事业
211,0.5,写着还要去年的完成证明。去年没跑的能报么。
212,0.5,心有余而力不足
213,0.4737150425347657,@铁打的女人会生锈cc 跑不跑
214,0.5,回复@小细节上吧:你去跑吧，那天我要考试[挖鼻]
215,0.4737150425347657,图片评论 http://t.cn/RcWY5aj
216,0.5,@_The_Monster__
217,0.5,@Ladycoco1992
218,0.5,杭州马拉松将于11月6日开跑！
219,0.5,小马
220,0.4737150425347657,好想去跑  但是好像要健康证什么的
221,0.5,半马
222,0.5,赶不上了[泪][泪]
223,0.4737150425347657,图片评论 http://t.cn/RV4xAg6
224,0.5,120元门票有点小贵
225,0.5,【这片不为人知的千亩花海，十一就要惊艳到你！】
226,0.5,有效信息缺乏。交通、门票等等都没有
227,0.5,这片不为人知的千亩花海，十一就要惊艳到你！
228,0.5,#美丽杭州#这个“十一”，去余杭大径山来一场说走就走的浪漫花海之旅吧~
229,0.5,【这片不为人知的千亩花海，十一就要惊艳到你！】
230,0.5,怎么走？说去就去啦
231,0.5,这片不为人知的千亩花海，十一就要惊艳到你！
232,0.5,全国英语三级也是这里吗
233,0.5,2016年成人高考今日开始现场确认，完成这步报名才有效
234,0.5,【2016年成人高考今日开始现场确认，完成这步报名才有效】
235,0.5,【2016年成人高考今日开始现场确认，完成这步报名才有效】
236,0.5,【这样的《罗密欧与朱丽叶》你肯定没看过，小微有票请你看！】
237,0.5,【这样的《罗密欧与朱丽叶》你肯定没看过，小微有票请你看！】
238,0.5,同上[疑问]
239,0.4737150425347657,[微笑]//@桐庐发布: 满口留香的脆皮炸鲜奶，味道赞！
240,0.5,@名字只能取15个字让我无法施展啊
241,0.4737150425347657,[微笑]//@桐庐发布: 满口留香的脆皮炸鲜奶，味道赞！
242,0.5,满口留香的脆皮炸鲜奶，味道赞！
243,0.5,【满口留香的脆皮炸鲜奶，味道赞！】
244,0.5,回复@LAIJIUJIUY:先把厨房搞干净…
245,0.5,不带这么诱惑人的，[囧][笑cry]
246,0.5,满口留香的脆皮炸鲜奶，味道赞！
247,0.5,通俗点说就是脑子比身体老得快，就糟糕了。
248,0.5,#生活视窗#10个方法，让你远离阿尔茨海默病！
249,0.4737150425347657,[good]//@桐庐发布: 梨皮煮水，润肺降燥！秋天这么吃，好处多多！
250,0.4737150425347657,[good]//@桐庐发布: 梨皮煮水，润肺降燥！秋天这么吃，好处多多！
251,0.5,[馋嘴][色]秋天吃梨原来好处那么多！
252,0.5,【梨皮煮水，润肺降燥！秋天这么吃，好处多多！】
253,0.5,[馋嘴][色]秋天吃梨原来好处那么多！
254,0.5,#健康#梨皮煮水，润肺降燥！秋天这么吃，好处多多！
255,0.5,[熊猫][熊猫]
256,0.5,回复@光光影随行:问问你家的，好不好[嘻嘻]
257,0.5,回复@天秤座熊熊:你这样写好吗[晕]
258,0.5,晚安
259,0.5,口十总，生意兴隆，财源广进
260,0.5,[带着微博去旅行][带着微博去旅行][带着微博去旅行]
261,0.5,早安
262,0.5,转发微博
263,0.5,【天气】
264,0.5,#今日出行#【天气】
265,0.5,杭州天气
266,0.5,太不严谨了，就直接复制粘贴，相对时间也不作相应改变
267,0.5,9月22日晚10点21分，秋分至。
268,0.5,转发的时候麻烦把明日改成今日好么
269,0.5,都今天了，还明日秋分。。小编你也太粗心了！
270,0.5,秋分//@杭州发布:①9月22日晚10点21分，秋分至。这一天昼夜平分，之后北半球昼短夜长；②一场秋雨一场寒，秋分始，天气一天比一天冷，早晚温差大，要及时增减衣物；③秋分转为“凉燥”，饮食上多吃一些清润温润的食物，如芝麻、核桃、糯米等；④天高气爽，适合郊游登山。深秋将至，准备好迎接秋天了吗
271,0.4737150425347657,//@上城发布: 秋季10大冠军果蔬，从头到脚养护你
272,0.4737150425347657,#健康养生# 秋季10大冠军果蔬，从头到脚养护你！
273,0.4737150425347657,秋季10大冠军果蔬，从头到脚养护你//@上城发布: 秋季10大冠军果蔬，从头到脚养护你
274,0.4737150425347657,//@上城发布: 秋季10大冠军果蔬，从头到脚养护你
275,0.4737150425347657,//@上城发布: 秋季10大冠军果蔬，从头到脚养护你
276,0.4737150425347657,涨姿势了//@上城发布: 秋季10大冠军果蔬，从头到脚养护你
277,0.4737150425347657,//@上城发布: 秋季10大冠军果蔬，从头到脚养护你
278,0.4737150425347657,//@上城发布: 秋季10大冠军果蔬，从头到脚养护你
279,0.5,秋季10大冠军果蔬，从头到脚养护你
280,0.5,转发微博
281,0.5,秋季10大冠军果蔬，从头到脚养护你
282,0.5,秋季10大冠军果蔬，从头到脚养护你
283,0.5,[推荐]秋季10大冠军果蔬，从头到脚养护你
284,0.4737150425347657,//@杭州城投发布: 从头到底养护你
285,0.5,从头到底养护你
286,0.5,转发微博
287,0.5,【[推荐]秋季10大冠军果蔬，从头到脚养护你】
288,0.5,【[推荐]秋季10大冠军果蔬，从头到脚养护你】
289,0.4737150425347657,@C皇冠crown 西溪湿地
290,0.4737150425347657,//@临安发布: 火柿银花，烟水荻芦…这里的秋天实在太美
291,0.5,火柿银花，烟水荻芦…这里的秋天实在太美
292,0.5,火柿银花，烟水荻芦…这里的秋天实在太美
293,0.5,火柿银花，烟水荻芦…这里的秋天实在太美
294,0.4737150425347657,//@临安发布: 火柿银花，烟水荻芦…这里的秋天实在太美
295,0.5,火柿银花，烟水荻芦…这里的秋天实在太美
296,0.4737150425347657,#如画杭州# 火柿银花，烟水荻芦…这里的秋天实在太美！
297,0.4737150425347657,[色]//@上城发布: 火柿银花，烟水荻芦…这里的秋天实在太美
298,0.4737150425347657,一定不要错过哦~//@西湖发布: 火柿银花，烟水荻芦…这里的秋天实在太美
299,0.5,火柿银花，烟水荻芦…这里的秋天实在太美
300,0.5,火柿银花，烟水荻芦…这里的秋天实在太美
301,0.4737150425347657,//@西湖发布: 火柿银花，烟水荻芦…这里的秋天实在太美
302,0.4737150425347657,//@上城发布: 火柿银花，烟水荻芦…这里的秋天实在太美
303,0.4737150425347657,//@上城发布: 火柿银花，烟水荻芦…这里的秋天实在太美
304,0.5,这里的秋天实在太美！
305,0.4737150425347657,大美杭州[心]//@上城发布: 火柿银花，烟水荻芦…这里的秋天实在太美
306,0.4737150425347657,#爱地铁 微分享#【火柿银花，烟水荻芦…这里的秋天实在太美】
307,0.5,如画西溪
308,0.5,回复@手机用户隐虫:[good][good][good]
309,0.5,火柿银花，烟水荻芦…这里的秋天实在太美
310,0.5,火柿银花，烟水荻芦…这里的秋天实在太美
311,0.4737150425347657,//@拱墅发布: 火柿银花，烟水荻芦…这里的秋天实在太美
312,0.5,转发微博
313,0.5,【火柿银花，烟水荻芦…这里的秋天实在太美】
314,0.4737150425347657,//@上城发布: 火柿银花，烟水荻芦…这里的秋天实在太美
315,0.5,火柿银花，烟水荻芦…这里的秋天实在太美
316,0.5,火柿银花，烟水荻芦…这里的秋天实在太美
317,0.5,火柿银花，烟水荻芦…这里的秋天实在太美
318,0.5,火柿银花，烟水荻芦…这里的秋天实在太美
319,0.5,晨辉薄云遮，草本挂水晶。秋日气清爽，果丰满仓堆。
320,0.5,火柿银花，烟水荻芦…这里的秋天实在太美
321,0.5,转发微博
322,0.5,回复@或者psyche:去西溪听芦吧[爱你]
323,0.5,火柿银花，烟水荻芦…这里的秋天实在太美[耶]
324,0.5,【火柿银花，烟水荻芦…这里的秋天实在太美】
325,0.4737150425347657,[心]/@拱墅发布: 火柿银花，烟水荻芦…这里的秋天实在太美
326,0.5,火柿银花，烟水荻芦…这里的秋天实在太美
327,0.5,好美好美鹅
328,0.4737150425347657,#微提醒# 地铁2号线西北段明年6月开通，接下来几个月沿线路面将有占道施工！
329,0.5,地铁2号线西北段明年6月开通，接下来几个月沿线路面将有占道施工！
330,0.5,地铁2号线西北段明年6月开通，接下来几个月沿线路面将有占道施工！
331,0.5,[哆啦A梦微笑]
332,0.5,地铁2号线西北段明年6月开通，接下来几个月沿线路面将有占道施工！
333,0.5,#微提醒#
334,0.5,【地铁2号线西北段明年6月开通，接下来几个月沿线路面将有占道施工！】
335,0.5,地铁2号线西北段明年6月开通，接下来几个月沿线路面将有占道施工！
336,0.22321936647226448,回复@杭州发布:5 6 7 8 9了
337,0.5,【地铁2号线西北段明年6月开通，接下来几个月沿线路面将有占道施工！】
338,0.5,回复@祺仔kei:4号线一期南段计划2017年底开通试运营。
339,0.5,地铁2号线西北段明年6月开通，接下来几个月沿线路面将有占道施工
340,0.5,江干#微提醒#[话筒]为配合地铁2号线西北段地铁站点施工，庆春东路（秋涛路至景昙路段）9月28日21:00至2017年3月15调整为双向5车道。庆春东路（凯旋路至双菱路段）9月22日21:00至2017年4月10日，调整为双向4车道。[围观]
341,0.5,地铁2号线西北段明年6月开通，接下来几个月沿线路面将有占道施工！
342,0.5,地铁2号线西北段明年6月开通，接下来几个月沿线路面将有占道施工
343,0.4737150425347657,//@杭州城投发布: 微提醒
344,0.5,微提醒
345,0.5,转发微博
346,0.5,地铁2号线西北段明年6月开通，接下来几个月沿线路面将有占道施工
347,0.5,4号线什么时候可以全线开通
348,0.4737150425347657,#爱地铁 微分享#【地铁2号线西北段明年6月开通，接下来几个月沿线路面将有占道施工！】
349,0.5,为什么不是今年年底呢[生病]
350,0.4737150425347657,//@拱墅发布: 云栖大会10月回归！[话筒]
351,0.5,云栖大会10月回归！[话筒]
352,0.4737150425347657,#关注# 云栖大会10月回归！[话筒]
353,0.5,云栖大会10月回归！[话筒]
354,0.5,从概念到落地，云栖大会将真正引领云计算技术的大规模商业化，前景光明~
355,0.4737150425347657,办好云栖会  当好东道主
356,0.5,云栖大会10月回归！
357,0.4737150425347657,//@拱墅发布: 云栖大会10月回归！[话筒]
358,0.5,云栖大会回归[鼓掌]
359,0.5,云栖大会10月回归！[话筒]
360,0.5,【云栖大会10月回归！[话筒]】
361,0.5,兄弟微博评论占据半壁江山！
362,0.4737150425347657,//@拱墅发布: 云栖大会10月回归！[话筒]
363,0.5,云栖大会10月回归！[话筒]
364,0.5,@oldratlee
365,0.5,云栖大会10月回归！[话筒]
366,0.5,数万平米，卖房大会？
367,0.5,云栖大会10月回归
368,0.5,尼玛，又要堵死了！
369,0.5,云栖大会10月回归
370,0.5,我想问资格认定还要考试吗？
371,0.5,转发微博
372,0.5,转需
373,0.5,【[话筒]2016年下半年杭州市教师资格认定，9月29日-10月14日启动网上申报！】
374,0.5,[话筒]2016年下半年杭州市教师资格认定，9月29日-10月14日启动网上申报！亲们多关注！[围观]
375,0.5,[话筒]2016年下半年杭州市教师资格认定，9月29日-10月14日启动网上申报！
376,0.5,下半年教师资格认定工作启动
377,0.5,转发微博
378,0.5,2016年下半年杭州市教师资格认定，9月29日-10月14日启动网上申报！[话筒]
379,0.5,【[话筒]2016年下半年杭州市教师资格认定，9月29日-10月14日启动网上申报！】
380,0.5,2016年下半年杭州市教师资格认定，9月29日-10月14日启动网上申报
381,0.5,#关注#2016年下半年杭州市教师资格认定，9月29日-10月14日启动网上申报！
382,0.5,[话筒]2016年下半年杭州市教师资格认定，9月29日-10月14日启动网上申报！
383,0.5,[话筒]2016年下半年杭州市教师资格认定，9月29日-10月14日启动网上申报！
384,0.5,杭城迎最“香”季节
385,0.5,看到楼上我一众小弟都很团结，我就放心了[拍照]
386,0.4737150425347657,气温略升 杭城迎最“香”季节！
387,0.5,满城桂雨[围观][围观][围观]
388,0.44757496667959995,//@西湖发布: 气温略升 杭城迎最“香”季节
389,0.5,桂香扑鼻[哆啦A梦花心]
390,0.4737150425347657,气温略升 杭城迎最“香”季节
391,0.4737150425347657,【气温略升 杭城迎最“香”季节】
392,0.4737150425347657,气温略升 杭城迎最“香”季节
393,0.5,最“香”季节来了！
394,0.4737150425347657,气温略升 杭城迎最“香”季节[鼓掌]
395,0.4737150425347657,气温略升 杭城迎最“香”季节
396,0.4737150425347657,气温略升 杭城迎最“香”季节
397,0.44757496667959995,#涨姿势# 速转WiFi安全使用攻略//@杭州发布: 【[话筒]速转WiFi安全使用攻略】#涨姿势#1、将WiFi连接设置为手动。2、不要在公共WiFi下操作网银……本周是国家网络安全宣传周，这份WiFi安全使用攻略一定要收好！点图↓有用，转！
398,0.4737150425347657,//@杭州发布: 【[话筒]速转WiFi安全使用攻略】#涨姿势#1、将WiFi连接设置为手动。2、不要在公共WiFi下操作网银……本周是国家网络安全宣传周，这份WiFi安全使用攻略一定要收好！点图↓有用，转！
399,0.4737150425347657,//@杭州发布: 【[话筒]速转WiFi安全使用攻略】#涨姿势#1、将WiFi连接设置为手动。2、不要在公共WiFi下操作网银……本周是国家网络安全宣传周，这份WiFi安全使用攻略一定要收好！点图↓有用，转！
400,0.44757496667959995,//@杭州发布: 【今年第17号台风“鲇鱼”生成 将影响台闽粤】#关注#今年第17号台风“鲇鱼”今天上午在西北太平洋洋面生成，预计将以20km/h左右向西偏北移动，最强可达强台风级（45-50m/s，14-15级）；将于27日前后登陆或擦过台湾南部，28日前后向闽粤沿海靠近。
401,0.44757496667959995,//@杭州发布: 【今年第17号台风“鲇鱼”生成 将影响台闽粤】#关注#今年第17号台风“鲇鱼”今天上午在西北太平洋洋面生成，预计将以20km/h左右向西偏北移动，最强可达强台风级（45-50m/s，14-15级）；将于27日前后登陆或擦过台湾南部，28日前后向闽粤沿海靠近。
402,0.44757496667959995,//@杭州发布: 【今年第17号台风“鲇鱼”生成 将影响台闽粤】#关注#今年第17号台风“鲇鱼”今天上午在西北太平洋洋面生成，预计将以20km/h左右向西偏北移动，最强可达强台风级（45-50m/s，14-15级）；将于27日前后登陆或擦过台湾南部，28日前后向闽粤沿海靠近。
403,0.44757496667959995,//@杭州发布: 【今年第17号台风“鲇鱼”生成 将影响台闽粤】#关注#今年第17号台风“鲇鱼”今天上午在西北太平洋洋面生成，预计将以20km/h左右向西偏北移动，最强可达强台风级（45-50m/s，14-15级）；将于27日前后登陆或擦过台湾南部，28日前后向闽粤沿海靠近。
